"Period","Country group","Subgroup","Commercial partner","Commodities (text)","Suppl. unit","Traffic direction","Suppl. qty","Kilogram (kg)","CHF"
"2026 01",,,"JP - Japan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,6,498829
"2026 01",,,"KR - Korea (South)","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,101,11801338
"2026 01",,,"KR - Korea (South)","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,150,18541707
"2026 01",,,"KY - Cayman Islands","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1,116235
"2026 01",,,"LA - Laos","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2042,50816545
"2026 01",,,"LB - Lebanon","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,75,9576224
"2026 01",,,"LB - Lebanon","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,684,84693177
"2026 01",,,"LR - Liberia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1102,121209474
"2026 01",,,"LT - Lithuania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,33,3860327
"2026 01",,,"LU - Luxembourg","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1,124603
"2026 01",,,"MK - North Macedonia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,19,2249629
"2026 01",,,"MN - Mongolia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1462,142978647
"2026 01",,,"MR - Mauritania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,733,78646036
"2026 01",,,"MX - Mexico","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2079,80388924
"2026 01",,,"MY - Malaysia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,567,61153491
"2026 01",,,"MY - Malaysia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1269,169338662
"2026 01",,,"NG - Nigeria","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,336,27826785
"2026 01",,,"NI - Nicaragua","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1563,28769892
"2026 01",,,"NL - Netherlands","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,0,38
